Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
4/25/2019,Sale,Sales Shipment,SHP102812,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/24/2020,G-CO-114,DURHAM,-2,-2,0,0,-2,56,-50,0,No, ,3270,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102811,01-06-013-OG,"OG Vidalia Onions, 40 lb.....",,,4/22/2020,G-OS-113,DURHAM,-3,-3,0,0,-3,120,-88.5,0,No, ,3269,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102811,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/19/2020,G-UH-109,DURHAM,-3,-3,0,0,-3,96.75,-75,0,No, ,3268,BEETS,
4/24/2019,Sale,Sales Shipment,SHP102810,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,4/19/2020,G-WT-109,DURHAM,-3,-3,0,-120,-3,120,-90,0,No, ,3267,SWEET POTATOES,
4/24/2019,Sale,Sales Shipment,SHP102810,01-09-014-OG,"OG Red Radish, bunched, 12 ct...",,,4/19/2020,G-CO-109,DURHAM,-3,-3,0,-45,-3,67.5,-54,0,No, ,3266,RADISHES,
4/24/2019,Sale,Sales Shipment,SHP102810,01-06-003-OG,"OG Green Spring Onions, bunched, 12 ct...",,,4/15/2020,G-CO-105,DURHAM,-2,-2,0,-12,-2,45,-36,0,No, ,3265,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102810,01-04-036-OG,"OG Red Russian Kale, bunched, 24 ct...",,,4/12/2020,G-UH-102,DURHAM,-1,-1,0,-20,-1,34.5,-26,0,No, ,3264,KALES,
4/24/2019,Sale,Sales Shipment,SHP102810,01-42-008-OG,"OG Rainbow Chard, bunched, 24 ct...",,,4/22/2020,G-UH-112,DURHAM,-1,-1,0,-25,-1,28.75,-26,0,No, ,3263,CHARD,
4/24/2019,Sale,Sales Shipment,SHP102810,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/24/2020,G-UH-114,DURHAM,-6,-6,0,0,-6,156,-150,0,No, ,3262,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102810,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/19/2020,G-UH-109,DURHAM,-1,-1,0,0,-1,32,-25,0,No, ,3261,BEETS,
4/24/2019,Sale,Sales Shipment,SHP102809,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/22/2020,G-UH-112,DURHAM,-3,-3,0,0,-3,60,-75,0,No, ,3260,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102809,02-01-030-OG,"OG Strawberries, bulk 10 lb",,,4/24/2020,G-CO-114,DURHAM,-20,-20,0,0,-20,700,-600,0,No, ,3259,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102808,01-18-007-NC,"Non-Cert. Butterhead Lettuce, 12 ct...",,,4/16/2020,LLU-106,DURHAM,-1,-1,0,0,-1,24.5,-18,0,No, ,3258,LETTUCE,
4/24/2019,Sale,Sales Shipment,SHP102808,01-42-008-OG,"OG Rainbow Chard, bunched, 24 ct...",,,4/19/2020,G-UH-109,DURHAM,-1,-1,0,-25,-1,34.5,-26,0,No, ,3257,CHARD,
4/24/2019,Sale,Sales Shipment,SHP102808,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/19/2020,G-UH-109,DURHAM,-1,-1,0,0,-1,32.25,-25,0,No, ,3256,BEETS,
4/24/2019,Sale,Sales Shipment,SHP102807,01-04-023-OG,"OG Green Kale, bunched, 24 ct...",,,4/19/2020,G-UH-109,DURHAM,-5,-5,0,-100,-5,172.5,-130,0,No, ,3255,KALES,
4/24/2019,Sale,Sales Shipment,SHP102807,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,4/19/2020,G-WT-109,DURHAM,-5,-5,0,-200,-5,205,-150,0,No, ,3254,SWEET POTATOES,
4/24/2019,Sale,Sales Shipment,SHP102806,01-04-024-OG,"OG Green Kale, loose, 20 lb.",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,-20,-1,29.5,-18,0,No, ,3253,KALES,
4/24/2019,Sale,Sales Shipment,SHP102806,01-04-024-OG,"OG Green Kale, loose, 20 lb.",,,4/19/2020,G-CO-109,DURHAM,-7,-7,0,-140,-7,206.5,-126,0,No, ,3252,KALES,
4/24/2019,Sale,Sales Shipment,SHP102805,01-60-006-OG,"OG Purple-Top Turnips, 10 lb...",,,4/8/2020,G-CO-098,DURHAM,-1,-1,0,0,-1,19,-15,0,No, ,3251,TURNIPS,
4/24/2019,Sale,Sales Shipment,SHP102805,01-09-014-OG,"OG Red Radish, bunched, 12 ct...",,,4/19/2020,G-CO-109,DURHAM,-1,-1,0,-15,-1,23,-18,0,No, ,3250,RADISHES,
4/24/2019,Sale,Sales Shipment,SHP102805,01-06-013-OG,"OG Vidalia Onions, 40 lb.....",,,4/22/2020,G-OS-113,DURHAM,-1,-1,0,0,-1,40,-29.5,0,No, ,3249,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102805,01-18-013-NC,"Non-Cert. MIXED Head Lettuce, 7 lb...",,,4/23/2020,G-CPP-113,DURHAM,-1,-1,0,0,-1,36.5,-27.5,0,No, ,3248,LETTUCE,
4/24/2019,Sale,Sales Shipment,SHP102805,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/24/2020,G-UH-114,DURHAM,-2,-2,0,0,-2,60,-50,0,No, ,3247,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102804,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/19/2020,G-UH-109,DURHAM,-5,-5,0,0,-5,161.25,-125,0,No, ,3246,BEETS,
4/24/2019,Sale,Sales Shipment,SHP102804,01-09-014-OG,"OG Red Radish, bunched, 12 ct...",,,4/19/2020,G-CO-109,DURHAM,-2,-2,0,-30,-2,46,-36,0,No, ,3245,RADISHES,
4/24/2019,Sale,Sales Shipment,SHP102804,01-06-003-OG,"OG Green Spring Onions, bunched, 12 ct...",,,4/15/2020,G-CO-105,DURHAM,-2,-2,0,-12,-2,45,-36,0,No, ,3244,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102804,03-49-001-NC,"Non-Cert. Sorghum, 1 gallon..",,,,MPS-075,DURHAM,-1,-1,0,0,-1,36.5,-30,0,No, ,3243,GROCERY SORGHUM,
4/24/2019,Sale,Sales Shipment,SHP102803,01-46-010-OG,"OG Garnet Sweet Potatoes, 40 lb...",,,4/9/2020,G-WT-099,DURHAM,-8,-8,0,-320,-8,328,-256,0,No, ,3242,SWEET POTATOES,
4/24/2019,Sale,Sales Shipment,SHP102803,01-09-014-OG,"OG Red Radish, bunched, 12 ct...",,,4/19/2020,G-CO-109,DURHAM,-2,-2,0,-30,-2,45,-36,0,No, ,3241,RADISHES,
